"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OEPS";"POPULARITY";"SPICEPREFIX";
"1";"100n";"C-EUC0402K";"C0402K";"C1";"CAPACITOR, European symbol";"";"";"GRM155R71E104KE14D";"";"";"OEPS010004";"";"";
"1";"1k";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"ERJ-2RKF1001X";"";"";"OEPS020006";"";"";
"1";"1x3 case";"22-23-2031";"22-23-2031";"LICK_PORT";".100" (2.54mm) Center Header - 3 Pin";"";"MOLEX";"282834-3";"1462950";"30C0862";"OEPS070035";"";"";
"1";"4.7uF";"C-EUC0603";"C0603";"C11";"CAPACITOR, European symbol";"";"";"C1608X6S1C475K080AC";"";"";"OEPS010018";"73";"C";
"1";"GP1A57HR";"GP1A57HR";"GP1A57HR";"PI3";"";"SENSOR OPTICAL 10MM PCB MOUNT";"";"GP1A57HRJ00F";"";"";"OEPSK01022";"";"";
